COUNTRY_NATION_TEAM,PLAYER_NUMBER,PLAYER_POSITION,PLAYER_FNAME,PLAYER_LNAME,PLAYER_BIRTH_DAY,PLAYER_BIRTH_MONTH,PLAYER_BIRTH_YEAR,PLAYER_AGE,PLAYER_CAPS,PLAYER_GOALS,PLAYER_CLUB_COUNTRY,PLAYER_CLUB
SWE,3,DF,Victor,Lindelöf,17,7,1994,23,22,1,ENG,Manchester United  
IRN,21,MF,Ashkan,Dejagah,5,7,1986,31,45,9,ENG,Nottingham Forest  
BEL,19,MF,Mousa,Dembélé,16,7,1987,30,77,5,ENG,Tottenham Hotspur  
ENG,9,FW,Harry,Kane,28,7,1993,24,26,18,ENG,Tottenham Hotspur  
ENG,3,DF,Danny,Rose,2,7,1990,27,19,0,ENG,Tottenham Hotspur  
KOR,7,FW,Son,Heung-min,8,7,1992,25,69,22,ENG,Tottenham Hotspur  
DEN,18,MF,Lukas,Lerager,12,7,1993,24,4,0,FRA,Bordeaux   
MAR,15,MF,Youssef,Aït Bennasser,7,7,1996,21,14,0,FRA,Caen   
TUN,23,MF,Naïm,Sliti,27,7,1992,25,21,3,FRA,Dijon   
FRA,18,FW,Nabil,Fekir,18,7,1993,24,14,2,FRA,Lyon   
FRA,19,DF,Djibril,Sidibé,29,7,1992,25,17,1,FRA,Monaco   
GER,12,GK,Kevin,Trapp,8,7,1990,27,3,0,FRA,Paris Saint-Germain  
SWE,20,FW,Ola,Toivonen,3,7,1986,31,61,14,FRA,Toulouse   
COL,10,MF,James,Rodríguez,12,7,1991,26,65,21,GER,Bayern Munich  
SUI,5,DF,Manuel,Akanji,19,7,1995,22,9,0,GER,Borussia Dortmund  
AUS,14,FW,Jamie,Maclaren,29,7,1993,24,6,0,GER,Darmstadt 98  
MEX,8,MF,Marco,Fabián,21,7,1989,28,39,9,GER,Eintracht Frankfurt  
SWE,8,MF,Albin,Ekdal,28,7,1989,28,36,0,GER,Hamburger SV  
JPN,13,FW,Yoshinori,Mutō,15,7,1992,25,24,2,GER,Mainz 5  
GER,23,FW,Mario,Gómez,10,7,1985,32,77,31,GER,VfB Stuttgart  
IRN,4,DF,Rouzbeh,Cheshmi,24,7,1993,24,11,1,IRN,Esteghlal   
CRO,3,DF,Ivan,Strinić,17,7,1987,30,45,0,ITA,Milan   
POL,18,DF,Bartosz,Bereszyński,12,7,1992,25,10,0,ITA,Sampdoria   
KOR,21,GK,Kim,Jin-hyeon,6,7,1987,30,15,0,JPN,Cerezo Osaka  
PER,11,FW,Raúl,Ruidíaz,25,7,1990,27,32,4,MEX,Morelia   
PER,13,MF,Renato,Tapia,28,7,1995,22,32,3,NED,Feyenoord   
MEX,22,FW,Hirving,Lozano,30,7,1995,22,30,8,NED,PSV   
COL,18,DF,Farid,Díaz,20,7,1983,34,13,0,PAR,Olimpia   
ARG,18,MF,Eduardo,Salvio,13,7,1990,27,11,0,POR,Benfica   
SRB,7,MF,Andrija,Živković,11,7,1996,21,10,0,POR,Benfica   
PER,7,MF,Paolo,Hurtado,27,7,1990,27,33,3,POR,Vitória de Guimarães 
IRN,17,FW,Mehdi,Taremi,18,7,1992,25,30,11,QAT,Al-Gharafa   
RUS,4,DF,Sergei,Ignashevich,14,7,1979,38,125,8,RUS,CSKA Moscow  
RUS,8,MF,Yury,Gazinsky,20,7,1989,28,9,1,RUS,Krasnodar   
RUS,19,MF,Aleksandr,Samedov,19,7,1984,33,51,7,RUS,Spartak Moscow  
RUS,3,DF,Ilya,Kutepov,29,7,1993,24,10,0,RUS,Spartak Moscow  
EGY,13,DF,Mohamed,Abdel Shafy,1,7,1985,32,55,1,KSA, Al Fateh 
EGY,19,MF,Abdallah,Said,13,7,1985,32,41,6,KSA, Al-Ahli  
KSA,17,MF,Taisir,Al-Jassim,25,7,1984,33,130,19,KSA, Al-Ahli  
KSA,9,MF,Hattan,Bahebri,16,7,1992,25,9,0,KSA, Al-Shabab  
